Time,GMSL
1/15/1993,-1.6,1993
2/15/1993,-3.4,1993
3/15/1993,5.5,1993
4/15/1993,0.1,1993
5/15/1993,5.3,1993
6/15/1993,0.2,1993
7/15/1993,3.9,1993
8/15/1993,0.2,1993
9/15/1993,3.1,1993
10/15/1993,-0.1,1993
11/15/1993,0.5,1993
12/15/1993,3.2,1993
1/15/1994,2.9,1994
2/15/1994,0.2,1994
3/15/1994,9.3,1994
4/15/1994,6.6,1994
5/15/1994,2.7,1994
6/15/1994,2.4,1994
7/15/1994,1.5,1994
8/15/1994,3.4,1994
9/15/1994,-0.1,1994
10/15/1994,3.4,1994
11/15/1994,-3.5,1994
12/15/1994,4,1994
1/15/1995,2.3,1995
2/15/1995,6.5,1995
3/15/1995,6.9,1995
4/15/1995,10,1995
5/15/1995,2.5,1995
6/15/1995,7.8,1995
7/15/1995,0.7,1995
8/15/1995,7.1,1995
9/15/1995,5,1995
10/15/1995,7.6,1995
11/15/1995,3.1,1995
12/15/1995,9.5,1995
1/15/1996,0.1,1996
2/15/1996,12.2,1996
3/15/1996,7.5,1996
4/15/1996,12.3,1996
5/15/1996,11.2,1996
6/15/1996,13.9,1996
7/15/1996,13.4,1996
8/15/1996,11.9,1996
9/15/1996,10.8,1996
10/15/1996,19.6,1996
11/15/1996,15.6,1996
12/15/1996,7.6,1996
1/15/1997,10.8,1997
2/15/1997,9.3,1997
3/15/1997,15,1997
4/15/1997,12.4,1997
5/15/1997,17.6,1997
6/15/1997,14.8,1997
7/15/1997,21.5,1997
8/15/1997,17.4,1997
9/15/1997,24.2,1997
10/15/1997,16.8,1997
11/15/1997,20.3,1997
12/15/1997,12.5,1997
1/15/1998,20.8,1998
2/15/1998,19.2,1998
3/15/1998,25.9,1998
4/15/1998,23,1998
5/15/1998,25,1998
6/15/1998,19.4,1998
7/15/1998,24.6,1998
8/15/1998,19.8,1998
9/15/1998,21.7,1998
10/15/1998,21.8,1998
11/15/1998,20.5,1998
12/15/1998,21.5,1998
1/15/1999,22.7,1999
2/15/1999,24.9,1999
3/15/1999,20.6,1999
4/15/1999,22.1,1999
5/15/1999,18.8,1999
6/15/1999,20.6,1999
7/15/1999,19.8,1999
8/15/1999,22.9,1999
9/15/1999,18,1999
10/15/1999,28,1999
11/15/1999,17.9,1999
12/15/1999,28.8,1999
1/15/2000,22.4,2000
2/15/2000,28.6,2000
3/15/2000,24.5,2000
4/15/2000,27.2,2000
5/15/2000,20.7,2000
6/15/2000,26.7,2000
7/15/2000,20,2000
8/15/2000,26.3,2000
9/15/2000,23,2000
10/15/2000,30.3,2000
11/15/2000,24.1,2000
12/15/2000,25.7,2000
1/15/2001,26.9,2001
2/15/2001,28.2,2001
3/15/2001,30.4,2001
4/15/2001,30.1,2001
5/15/2001,29,2001
6/15/2001,28.9,2001
7/15/2001,32.5,2001
8/15/2001,27.6,2001
9/15/2001,34.8,2001
10/15/2001,27.8,2001
11/15/2001,32.6,2001
12/15/2001,26.6,2001
1/15/2002,32.2,2002
2/15/2002,32.4,2002
3/15/2002,32.2,2002
4/15/2002,32,2002
5/15/2002,33.8,2002
6/15/2002,31.1,2002
7/15/2002,35.3,2002
8/15/2002,36.7,2002
9/15/2002,32.8,2002
10/15/2002,36.1,2002
11/15/2002,32.2,2002
12/15/2002,33.1,2002
1/15/2003,34.5,2003
2/15/2003,37,2003
3/15/2003,36.6,2003
4/15/2003,35.8,2003
5/15/2003,36.4,2003
6/15/2003,33.3,2003
7/15/2003,34.2,2003
8/15/2003,33.4,2003
9/15/2003,37.7,2003
10/15/2003,35.6,2003
11/15/2003,34.5,2003
12/15/2003,35.2,2003
1/15/2004,39.1,2004
2/15/2004,37,2004
3/15/2004,39.3,2004
4/15/2004,38.7,2004
5/15/2004,37.2,2004
6/15/2004,36.7,2004
7/15/2004,38.4,2004
8/15/2004,36.1,2004
9/15/2004,39,2004
10/15/2004,35.3,2004
11/15/2004,35.3,2004
12/15/2004,39.2,2004
1/15/2005,38.1,2005
2/15/2005,40.9,2005
3/15/2005,42.5,2005
4/15/2005,40.5,2005
5/15/2005,41.4,2005
6/15/2005,41.9,2005
7/15/2005,40.9,2005
8/15/2005,40.4,2005
9/15/2005,40.6,2005
10/15/2005,41,2005
11/15/2005,43.6,2005
12/15/2005,44.7,2005
1/15/2006,40.1,2006
2/15/2006,43.5,2006
3/15/2006,42.8,2006
4/15/2006,43.3,2006
5/15/2006,43.1,2006
6/15/2006,44,2006
7/15/2006,44,2006
8/15/2006,43.1,2006
9/15/2006,43.3,2006
10/15/2006,44.3,2006
11/15/2006,40.2,2006
12/15/2006,43.5,2006
1/15/2007,40.5,2007
2/15/2007,42.8,2007
3/15/2007,43.3,2007
4/15/2007,48,2007
5/15/2007,43.9,2007
6/15/2007,43.5,2007
7/15/2007,41.5,2007
8/15/2007,42.2,2007
9/15/2007,41.4,2007
10/15/2007,42.6,2007
11/15/2007,45.9,2007
12/15/2007,42.8,2007
1/15/2008,46.2,2008
2/15/2008,43.7,2008
3/15/2008,48.5,2008
4/15/2008,47,2008
5/15/2008,52.9,2008
6/15/2008,49.8,2008
7/15/2008,49.4,2008
8/15/2008,47.5,2008
9/15/2008,49.2,2008
10/15/2008,48.5,2008
11/15/2008,50.5,2008
12/15/2008,49.6,2008
1/15/2009,51.1,2009
2/15/2009,49.3,2009
3/15/2009,53.7,2009
4/15/2009,52,2009
5/15/2009,54.5,2009
6/15/2009,54.3,2009
7/15/2009,54.3,2009
8/15/2009,53,2009
9/15/2009,54.8,2009
10/15/2009,54.6,2009
11/15/2009,55.1,2009
12/15/2009,55.7,2009
1/15/2010,52.5,2010
2/15/2010,54.3,2010
3/15/2010,54.8,2010
4/15/2010,56,2010
5/15/2010,57.6,2010
6/15/2010,60.5,2010
7/15/2010,57.7,2010
8/15/2010,55.5,2010
9/15/2010,51.5,2010
10/15/2010,53.5,2010
11/15/2010,51.6,2010
12/15/2010,53.1,2010
1/15/2011,52.1,2011
2/15/2011,52.9,2011
3/15/2011,49.9,2011
4/15/2011,53,2011
5/15/2011,52.5,2011
6/15/2011,57.4,2011
7/15/2011,54.3,2011
8/15/2011,57.7,2011
9/15/2011,54,2011
10/15/2011,57.4,2011
11/15/2011,54.9,2011
12/15/2011,59.3,2011
1/15/2012,63.8,2012
2/15/2012,62.4,2012
3/15/2012,62.3,2012
4/15/2012,62,2012
5/15/2012,64.1,2012
6/15/2012,66.9,2012
7/15/2012,69.3,2012
8/15/2012,65.9,2012
9/15/2012,65.8,2012
10/15/2012,65.9,2012
11/15/2012,67.2,2012
12/15/2012,69.1,2012
1/15/2013,70.2,2013
2/15/2013,67.7,2013
3/15/2013,71,2013
4/15/2013,68,2013
5/15/2013,69.5,2013
6/15/2013,67.8,2013
7/15/2013,69.7,2013
8/15/2013,64.9,2013
9/15/2013,65.7,2013
10/15/2013,64.9,2013
11/15/2013,68.1,2013
12/15/2013,66.9,2013
1/15/2014,69,2014
2/15/2014,70.1,2014
3/15/2014,71.5,2014
4/15/2014,69.3,2014
5/15/2014,69.9,2014
6/15/2014,71.9,2014
7/15/2014,73.1,2014
8/15/2014,73.5,2014
9/15/2014,70.2,2014
10/15/2014,71.7,2014
11/15/2014,69,2014
12/15/2014,76,2014
1/15/2015,74.5,2015
2/15/2015,79.5,2015
